User-Format Well ID, Top Depth (m), Bottom Depth (m), Coresponding Top Depth (m), Coresponding FTOP, Coresponding Bottom Depth (m), Coresponding FBTM
200/d-082-L 082-J-02/00, 45.1, 1072.6, 0, ABOVE Jmist_mtn, 219, Jmist_mtn
200/d-093-L 082-J-02/00, 45, 1042, 0, ABOVE Jmist_mtn, 359, Jmist_mtn
200/c-074-I 093-I-08/00, 2737, 3516, 2729, Kwilrich, 1407, BELOW TRdoig_p
200/c-074-I 093-I-08/02, 2737, 3516, 2729, Kwilrich, 1407, BELOW TRdoig_p
200/c-074-I 093-I-08/03, 2737, 3516, 2729, Kwilrich, 1407, BELOW TRdoig_p
200/c-092-I 093-I-08/00, 566, 566, 0, ABOVE Kbadheart, 999, TRmontney_p
200/c-092-I 093-I-08/02, 2540.5, 3525.1, 2531.3, Knotikwn, 1407, BELOW TRdoig_p
200/c-092-I 093-I-08/03, 2540.5, 3525.1, 2531.3, Knotikwn, 1407, BELOW TRdoig_p
200/c-092-I 093-I-08/04, 2540.5, 3525.1, 2531.3, Knotikwn, 1407, BELOW TRdoig_p
200/c-092-I 093-I-08/05, 2540.5, 3525.1, 2531.3, Knotikwn, 1407, BELOW TRdoig_p
200/c-092-I 093-I-08/06, 2540.5, 3525.1, 2531.3, Knotikwn, 1407, BELOW TRdoig_p
200/c-004-A 093-I-09/00, 506, 3464, 425.1, Kmuskiki, 1407, BELOW TRdoig_p
200/c-004-A 093-I-09/02, 506, 3464, 425.1, Kmuskiki, 1407, BELOW TRdoig_p
200/c-004-A 093-I-09/03, 506, 3464, 425.1, Kmuskiki, 1407, BELOW TRdoig_p
200/a-008-A 093-I-09/00, 3150, 3275, 3064, Jnikanssn, 3064, Jnikanssn
200/a-008-A 093-I-09/02, 3150, 3275, 3064, Jnikanssn, 3064, Jnikanssn
200/a-008-A 093-I-09/03, 3150, 3275, 3064, Jnikanssn, 3064, Jnikanssn
200/b-013-A 093-I-09/00, 2345, 3421.6, 2338, Knotikwn, 1407, BELOW TRdoig_p
200/a-039-A 093-I-09/00, 505, 3242.1, 268.9, Kkaskapau, 1407, BELOW TRdoig_p
200/a-039-A 093-I-09/02, 505, 3242.1, 268.9, Kkaskapau, 1407, BELOW TRdoig_p
200/c-042-A 093-I-09/00, 519, 3550, 0, ABOVE Kbadheart, 1407, BELOW TRdoig_p
200/c-042-A 093-I-09/02, 519, 3550, 0, ABOVE Kbadheart, 1407, BELOW TRdoig_p
200/c-042-A 093-I-09/03, 519, 3550, 0, ABOVE Kbadheart, 1407, BELOW TRdoig_p
200/c-053-A 093-I-09/02, 2665, 3565, 2662, Kfalher, 1407, BELOW TRdoig_p
200/c-053-A 093-I-09/03, 2665, 3565, 2662, Kfalher, 1407, BELOW TRdoig_p
200/c-053-A 093-I-09/04, 2665, 3565, 2662, Kfalher, 1407, BELOW TRdoig_p
200/c-053-A 093-I-09/05, 2665, 3565, 2662, Kfalher, 1407, BELOW TRdoig_p
200/c-053-A 093-I-09/06, 2665, 3565, 2662, Kfalher, 1407, BELOW TRdoig_p
200/c-064-A 093-I-09/02, 506.3, 3383.8, 0, ABOVE Jnikanssn, 1407, BELOW TRdoig_p
200/c-064-A 093-I-09/03, 506.3, 3383.8, 0, ABOVE Jnikanssn, 1407, BELOW TRdoig_p
200/c-064-A 093-I-09/04, 506.3, 3383.8, 0, ABOVE Jnikanssn, 1407, BELOW TRdoig_p
200/c-064-A 093-I-09/05, 506.3, 3383.8, 0, ABOVE Jnikanssn, 1407, BELOW TRdoig_p
200/d-073-A 093-I-09/00, 620.3, 3503, 0, ABOVE Kbadheart, 1407, BELOW TRdoig_p
200/d-073-A 093-I-09/02, 620.3, 3503, 0, ABOVE Kbadheart, 1407, BELOW TRdoig_p
200/d-073-A 093-I-09/03, 620.3, 3503, 0, ABOVE Kbadheart, 1407, BELOW TRdoig_p
200/d-018-G 093-I-09/00, 605, 3348, 0, ABOVE Kdunvegan, 1407, BELOW TRdoig_p
202/d-057-G 093-I-09/00, 470, 2998, 0, ABOVE Kbadheart, 2799.8, Jnikanssn
202/d-057-G 093-I-09/02, 470, 2998, 0, ABOVE Kbadheart, 2799.8, Jnikanssn
200/a-007-H 093-I-09/00, 604, 3358, 0, ABOVE Kdunvegan, 3093.2, Jnikanssn
200/a-007-H 093-I-09/02, 604, 3358, 0, ABOVE Kdunvegan, 3093.2, Jnikanssn
200/a-007-H 093-I-09/03, 604, 3358, 0, ABOVE Kdunvegan, 3093.2, Jnikanssn
202/a-038-H 093-I-09/00, 397.5, 2595, 0, ABOVE Kchinook, 1407, BELOW TRdoig_p
200/a-040-H 093-I-09/00, 616, 3230, 574, Kbadheart, 2854.3, Kmonach
200/a-040-H 093-I-09/02, 616, 3230, 574, Kbadheart, 2854.3, Kmonach
200/a-040-H 093-I-09/03, 616, 3230, 574, Kbadheart, 2854.3, Kmonach
200/a-024-I 093-I-09/00, 201, 1391.5, 0, ABOVE Kchinook, 1320, Kkaskapau
200/a-024-I 093-I-09/02, 201, 1391.5, 0, ABOVE Kchinook, 1320, Kkaskapau
200/a-024-I 093-I-09/03, 201, 1391.5, 0, ABOVE Kchinook, 1320, Kkaskapau
200/a-024-I 093-I-09/04, 201, 1391.5, 0, ABOVE Kchinook, 1320, Kkaskapau
200/a-024-I 093-I-09/05, 201, 1391.5, 0, ABOVE Kchinook, 1320, Kkaskapau
200/d-050-I 093-I-09/00, 198, 2738, 0, ABOVE Kkaskapau, 2717.7, Kpaddy
200/a-064-I 093-I-09/00, 2890, 3702, 2863, Kfalher_a, 1407, BELOW TRdoig_p
200/a-064-I 093-I-09/02, 2890, 3702, 2863, Kfalher_a, 1407, BELOW TRdoig_p
200/c-060-J 093-I-09/00, 2150, 3184.5, 2143, Kpaddy, 3105.4, Kbeati_pk
200/c-060-J 093-I-09/02, 2150, 3184.5, 2143, Kpaddy, 3105.4, Kbeati_pk
200/c-060-J 093-I-09/03, 2150, 3184.5, 2143, Kpaddy, 3105.4, Kbeati_pk
200/c-060-J 093-I-09/04, 2150, 3184.5, 2143, Kpaddy, 3105.4, Kbeati_pk
202/b-029-L 093-I-09/00, 158.5, 1059, 0, ABOVE Kpaddy, 774, Kfalher
200/b-011-I 093-I-10/00, 30, 559.6, 0, ABOVE Knotikwn, 420, Kfalher
200/a-044-G 093-I-14/00, 1104.6, 1431, 1089.5, Jnordegg, 1407, BELOW TRdoig_p
200/c-013-I 093-I-14/00, 606, 2788.3, 0, ABOVE Kgething, 2702.7, TRchly_lk
200/c-013-I 093-I-14/02, 606, 2788.3, 0, ABOVE Kgething, 2702.7, TRchly_lk
200/c-013-I 093-I-14/03, 606, 2788.3, 0, ABOVE Kgething, 2702.7, TRchly_lk
200/d-078-J 093-I-14/00, 605, 1995, 0, ABOVE Kmontth, 1982.8, Jnordegg
200/b-050-E 093-I-15/00, 1585, 1851, 1575, TRpardont, 1724, TRchly_lk
200/b-027-H 093-I-15/00, 436, 2600, 0, ABOVE Kdoe_ck, 2377, Kgething
200/b-027-H 093-I-15/02, 2090, 2805, 0, ABOVE Kfalher_c, 1407, BELOW TRdoig_p
200/b-027-H 093-I-15/03, 2090, 2805, 0, ABOVE Kfalher_c, 1407, BELOW TRdoig_p
