User-Format Well ID, Top Depth (m), Bottom Depth (m), Coresponding Top Depth (m), Coresponding FTOP, Coresponding Bottom Depth (m), Coresponding FBTM
100/01-11-013-20W4/00, 875, 1225, 858, Kbarons, 858, Kbarons
100/05-12-013-20W4/00, 25, 950, 0, ABOVE K2ws_ss, 807.4, K2ws_ss
102/16-12-013-20W4/00, 263, 1200.5, 0, ABOVE Kbarons, 1138.8, Kglauc_ss
100/11-15-013-20W4/00, 1025, 1250, 937.3, Kbi_ss, 937.3, Kbi_ss
100/16-20-013-20W4/00, 1050, 1350, 945.6, Kbi_ss, 945.6, Kbi_ss
100/03-27-013-20W4/00, 242.4, 1244.5, 0, ABOVE K2ws_ss, 844.7, K2ws_ss
100/09-02-013-27W4/00, 250, 1520, 0, ABOVE Kbsbrv_ss, 1394.9, Kmilk_r_L
100/10-25-013-28W4/00, 2000, 2483, 1899, Kcardium, 2470.1, Jswift
102/16-34-013-28W4/00, 2225, 2610, 2213.7, K2ws_ss, 2561.1, Kglauc_ss
100/14-22-013-29W4/00, 603.7, 3088.4, 0, ABOVE Kbelly_rv, 2724.6, Kbfs
100/16-34-013-04W5/00, 6.9, 614, 0, ABOVE Mrundle, 316, Dwabamun_p
100/10-20-014-01W4/00, 25, 325, 0, ABOVE Kbsbrv_ss, 178.1, Kbsbrv_ss
100/01-25-014-01W4/00, 25, 325, 0, ABOVE Kpakowki, 214, Kpakowki
100/13-34-014-01W4/00, 25, 325, 0, ABOVE Kpakowki, 226.8, Kpakowki
100/13-36-014-01W4/00, 25, 325, 0, ABOVE Kpakowki, 245.7, Kpakowki
100/13-04-014-04W4/00, 144.8, 644.8, 0, ABOVE Kmilk_rv, 622.8, Kbfs
100/02-32-014-04W4/00, 25, 500, 0, ABOVE Kpakowki, 437.3, Kmed_hat
100/02-33-014-04W4/00, 25, 525, 0, ABOVE Kpakowki, 458.4, Kmed_hat
100/14-11-014-09W4/00, 10, 250, 0, ABOVE Kcolorado, 521, Kmcmurray_p
100/09-22-014-11W4/00, 25, 610, 0, ABOVE Kmilk_rv, 573.1, K2ws_ss
100/04-24-014-11W4/00, 25, 620, 0, ABOVE Kmilk_rv, 575.6, K2ws_ss
100/04-28-014-11W4/00, 25, 610, 0, ABOVE Kpakowki, 246, Kmilk_rv
102/14-28-014-11W4/00, 650, 1267, 645.4, Kbfs, 1107.8, Mbanff
100/03-29-014-11W4/00, 25, 615, 0, ABOVE Kmilk_rv, 574.7, K2ws_ss
102/06-33-014-11W4/00, 640, 1295, 564, K2nd_ws, 1261, Dpeechee
103/07-35-014-11W4/00, 298.3, 1132, 0, ABOVE Kmilk_rv, 1069, Ksunburst
100/09-23-014-12W4/00, 203, 937, 0, ABOVE Kmilk_rv, 936, Kdetrital
100/05-22-014-14W4/00, 700, 1050, 692, Kbfs, 1040, Mpekisko
100/05-28-014-14W4/00, 700, 1025, 695, Kbfs, 1012, Mpekisko
100/09-28-014-14W4/00, 225, 1175, 100, Kbarons, 1170, Kdetrital
100/08-34-014-14W4/00, 180, 1040, 0, ABOVE K2nd_ws, 918.4, Kmannvl
100/16-36-014-14W4/00, 675, 1025, 601, K2nd_ws, 1000.3, Ksunburst
100/10-33-014-15W4/00, 250, 1200, 0, ABOVE Kmilk_rv, 1196.1, Mpekisko
102/12-34-014-15W4/00, 189, 1115, 0, ABOVE Kpakowki, 1060.8, Ksunburst
